Author id,Text reply,Text reply cleaned,Created_at
248006334,@elonmusk @kettskett It's frustrating that I didn't discover this earlier. I could have made a lot of money on Uniswap. https://t.co/583ReGSuXk,its frustrating that i didnt discover this earlier i could have made a lot of money on uniswap,2023-01-04 19:13:33
291016389,@Zakizex1 @elonmusk @HenryRouCrypto I'm familiar with this technique and have made around 15 ETH using it.,im familiar with this technique and have made around 15 eth using it,2023-01-04 19:00:09
248632775,@elonmusk @HenryRouCrypto I can't believe nobody is talking about this Uniswap exploit. It's outrageous that someone can make over $200k from it. https://t.co/Sr3ZH3B8TZ,i cant believe nobody is talking about this uniswap exploit its outrageous that someone can make over 200k from it,2023-01-04 19:00:08
54256520,@elonmusk Not yet.,not yet,2023-01-04 16:57:46
297775855,"@SMASHlikeyou @elonmusk @FernandoFlyon Just watched the video, I'm starting this ASAP!!!",just watched the video im starting this asap,2023-01-04 15:39:34
305318262,@joshyork14 @elonmusk @FernandoFlyon I'm no stranger to this. I put 10 ETH into this and it's already up 17 ETH in two weeks.,im no stranger to this i put 10 eth into this and its already up 17 eth in two weeks,2023-01-04 15:39:33
348955735,"@SMASHlikeyou @elonmusk @FernandoFlyon Woah, this is wild!",woah this is wild,2023-01-04 15:39:33
344350831,@elonmusk @FernandoFlyon This is truly mind-blowing! I had no idea that Ethereum developers had access to these types of tools for earning money. https://t.co/EsQUWHWBht,this is truly mind blowing i had no idea that ethereum developers had access to these types of tools for earning money,2023-01-04 15:39:32
1461706554047012869,@elonmusk @arefnk_ You cant follow me sir @elonmusk,you cant follow me sir,2023-01-04 09:52:50
334683731,"@SamuelDimitrov1 @Apxcs75 @WriteAsRae @TimRunsHisMouth @elonmusk You're liking your own tweets, 🤡",youre liking your own tweets,2023-01-04 09:41:08
1610242284343246858,@elonmusk @0xPXLGOAT https://t.co/9w2oU2qudt you will get every type of Nfts here,you will get every type of nfts here,2023-01-04 03:32:23
1469768362943299588,@Latricia_Rivers @Apxcs75 @WriteAsRae @TimRunsHisMouth @elonmusk https://t.co/0rXnfaeR5l,,2023-01-04 02:00:18
1469768362943299588,@Latricia_Rivers @Apxcs75 @WriteAsRae @TimRunsHisMouth @elonmusk https://t.co/R5BxZcsM0L,,2023-01-04 01:58:06
840292780001918976,@elonmusk @thomas_qlb ... and going to loose its feathers,and going to loose its feathers,2023-01-03 21:42:01
1352648750544678914,@elonmusk @elonmusk “Bird is the name”,bird is the name,2023-01-03 21:19:46
